mastertccode3606	group	statespond	cowmastercountry	masterccode	fatalities19982005	OrgAge	ordsize	terrStrong	degree	ContainRelig	ContainEthno	LeftNoReligEthno	PureRelig	PureEthno	ReligEthno	ContainRelig2	ContainEthno2	Islam
50	"Animal Liberation Front (ALF)"	0	"United States of America"	2	0	30	0	0	1	0	0	0	0	0	0	0	0	0
89	"Army of God"	0	"United States of America"	2	1	24	0	0	0	1	0	0	1	0	0	1	0	0
113	"Cambodian Freedom Fighters (CFF)"	0	"United States of America"	2	0	8	0	0	0	0	1	0	0	0	0	0	1	0
126	"Coalition to Save the Preserves (CSP)"	0	"United States of America"	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0
153	"Earth Liberation Front (ELF)"	0	"United States of America"	2	0	14	0	0	1	0	0	0	0	0	0	0	0	0
281	"Macheteros"	0	"United States of America"	2	0	29	0	0	0	0	1	0	0	0	0	0	1	0
30035	"Maras Salvatruchas"	0	"United States of America"	2	28	21	3	0	0	0	0	0	0	0	0	0	0	0
9875	"Revolutionary Cells Animal Liberation Brigade"	0	"United States of America"	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
20023	"Comando Jaramillista Morelense 23 de Mayo"	0	"Mexico"	70	0	2	0	0	0	0	0	0	0	0	0	0	0	0
10042	"Group of Guerilla Combatants of Jose Maria Morelos y Pavon (CGNJMMP)"	0	"Mexico"	70	0	5	0	0	2	0	0	0	0	0	0	0	0	0
246	"Justice Army of the Defenseless People"	0	"Mexico"	70	0	10	0	0	1	0	0	0	0	0	0	0	0	0
10043	"Popular Revolutionary Army (Mexico)"	0	"Mexico"	70	4	10	1	0	3	0	0	1	0	0	0	0	0	0
9871	"Revolutionary Armed Forces of the People (FARP)"	0	"Mexico"	70	0	6	0	0	2	0	0	0	0	0	0	0	0	0
331	"Night Avengers"	0	"Honduras"	91	1	9	0	0	0	0	0	0	0	0	0	0	0	0
9827	"People's Liberation Forces (El Salvador)"	0	"El Salvador"	92	0	36	0	0	0	0	0	1	0	0	0	0	0	0
48	"Andres Castro United Front (FUAC)"	0	"Nicaragua"	93	1	11	1	0	0	0	0	0	0	0	0	0	0	0
69	"April 19 Movement"	0	"Colombia"	100	0	34	0	0	2	0	0	1	0	0	0	0	0	0
199	"Guevarista Revolutionary Army (ERG)"	0	"Colombia"	100	0	13	0	1	1	0	0	1	0	0	0	0	0	0
234	"Jaime Bateman Cayon Group (JBC)"	0	"Colombia"	100	0	17	1	0	2	0	0	1	0	0	0	0	0	0
317	"National Liberation Army (Colombia)"	1	"Colombia"	100	107	42	2	1	8	0	0	1	0	0	0	0	0	0
9829	"People's Revolutionary Army (Colombia)"	0	"Colombia"	100	1	11	1	0	1	0	0	1	0	0	0	0	0	0
9838	"Popular Liberation Army"	0	"Colombia"	100	9	39	1	0	1	0	0	1	0	0	0	0	0	0
9870	"Revolutionary Armed Forces of Colombia (FARC)"	0	"Colombia"	100	463	42	3	1	6	0	0	1	0	0	0	0	0	0
9912	"Self-Defense Groups of Cordoba and Uraba (ACCU)"	0	"Colombia"	100	2	12	2	1	2	0	1	0	0	0	0	0	1	0
9980	"United Self-Defense Forces of Colombia (AUC)"	0	"Colombia"	100	244	9	2	0	2	0	1	0	0	0	0	0	1	0
20019	"Bolivarian Liberation Forces (FBL)"	0	"Venezuela"	101	0	14	1	0	3	0	0	1	0	0	0	0	0	0
114	"Carapaica Revolutionary Movement"	0	"Venezuela"	101	0	4	0	0	1	0	0	1	0	0	0	0	0	0
20020	"EPA (Ejercito del Pueblo en Armas)"	0	"Venezuela"	101	0	4	0	0	2	0	0	0	0	0	0	0	0	0
267	"Latin American Patriotic Army (EPLA)"	0	"Venezuela"	101	0	5	0	0	1	0	0	1	0	0	0	0	0	0
285	"Mariano Moreno National Liberation Commando"	0	"Venezuela"	101	0	1	0	0	0	0	0	1	0	0	0	0	0	0
9961	"Tupamaro Revolutionary Movement - January 23"	0	"Venezuela"	101	0	8	0	0	2	0	0	1	0	0	0	0	0	0
9979	"United Revolutionary Front"	0	"Venezuela"	101	0	8	0	0	1	0	0	0	0	0	0	0	0	0
9981	"United Self-Defense Forces of Venezuela (AUV)"	0	"Venezuela"	101	7	4	2	0	2	0	0	0	0	0	0	0	0	0
83	"Armed Revolutionary Left"	0	"Ecuador"	130	0	2	0	0	0	0	0	1	0	0	0	0	0	0
156	"Ecuadorian Rebel Force"	0	"Ecuador"	130	0	4	0	0	0	0	0	0	0	0	0	0	0	0
194	"Group of Popular Combatants (GPC)"	0	"Ecuador"	130	0	12	1	1	2	0	0	1	0	0	0	0	0	0
9830	"People's Revolutionary Militias"	0	"Ecuador"	130	0	4	0	0	0	0	0	0	0	0	0	0	0	0
9869	"Revolutionary Armed Corps (CAR)"	0	"Ecuador"	130	0	5	0	0	0	0	0	0	0	0	0	0	0	0
9991	"White Legion"	0	"Ecuador"	130	0	5	0	0	0	0	0	0	0	0	0	0	0	0
30029	"Ethnocacerista"	0	"Peru"	135	6	5	0	0	0	0	0	0	0	0	0	0	0	0
9915	"Shining Path"	0	"Peru"	135	40	39	1	1	0	0	0	1	0	0	0	0	0	0
9959	"Tupac Amaru Revolutionary Movement"	0	"Peru"	135	0	23	0	0	0	0	0	1	0	0	0	0	0	0
9948	"The Inevitables"	0	"Bolivia"	145	0	3	0	0	0	0	0	1	0	0	0	0	0	0
9949	"The National Anti-Corruption Front"	0	"Bolivia"	145	0	1	0	0	0	0	0	0	0	0	0	0	0	0
306	"Movement of the Revolutionary Left"	1	"Chile"	155	0	41	0	0	1	0	0	1	0	0	0	0	0	0
20042	"Pueblo Regrupado"	0	"Chile"	155	0	4	0	0	0	0	0	0	0	0	0	0	0	0
145	"Dario Santillan Command"	0	"Argentina"	160	0	2	0	0	0	0	0	1	0	0	0	0	0	0
2	"Abu Hafs al-Masri Brigade"	0	"United Kingdom"	200	193	5	0	0	2	1	0	0	1	0	0	1	0	1
115	"Catholic Reaction Force (CRF)"	0	"United Kingdom"	200	0	5	0	0	0	0	1	0	0	0	0	0	1	0
139	"Continuity Irish Republican Army (CIRA)"	0	"United Kingdom"	200	1	20	0	0	1	0	1	0	0	0	0	0	1	0
223	"Irish Republican Army (IRA)"	0	"United Kingdom"	200	2	87	1	0	3	0	1	0	0	0	0	0	1	0
279	"Loyalist Volunteer Force (LVF)"	0	"United Kingdom"	200	4	10	1	0	3	0	1	0	0	0	0	0	1	0
9809	"Orange Volunteers (OV)"	0	"United Kingdom"	200	0	34	0	0	3	0	1	0	0	1	0	0	1	0
9854	"Real Irish Republican Army (RIRA)"	0	"United Kingdom"	200	30	8	1	0	2	0	1	0	0	1	0	0	1	0
9860	"Red Hand Defenders (RHD)"	0	"United Kingdom"	200	6	8	0	0	4	0	1	0	0	1	0	0	1	0
9926	"South Londonderry Volunteers (SLV)"	0	"United Kingdom"	200	0	9	0	0	1	0	1	0	0	1	0	0	1	0
9969	"Ulster Defence Association/Ulster Freedom Fighters"	0	"United Kingdom"	200	2	35	2	0	4	0	1	0	0	1	0	0	1	0
9970	"Ulster Volunteer Force (UVF)"	0	"United Kingdom"	200	0	40	1	0	3	0	1	0	0	1	0	0	1	0
222	"Irish National Liberation Army (INLA)"	0	"Ireland"	205	2	32	0	0	1	0	1	0	0	0	0	0	1	0
135	"Communist Revolutionaries in Europe"	0	"Netherlands"	210	0	7	0	0	0	0	0	0	0	0	0	0	0	0
5	"Accolta Nazinuale Corsa"	0	"France"	220	0	4	0	0	0	0	1	0	0	0	0	0	1	0
6	"Action Committee of Winegrowers"	0	"France"	220	0	7	0	0	0	0	0	1	0	0	0	0	0	0
7	"Action Directe"	0	"France"	220	0	27	0	0	1	0	0	1	0	0	0	0	0	0
77	"Armata Corsa"	0	"France"	220	0	7	0	0	0	0	1	0	0	0	0	0	1	0
78	"Armata di Liberazione Naziunale"	0	"France"	220	0	4	0	0	0	0	1	0	0	0	0	0	1	0
90	"Army of the Corsican People"	0	"France"	220	0	2	0	0	0	0	1	0	0	0	0	0	1	0
111	"Breton Revolutionary Army (ARB)"	0	"France"	220	1	8	0	0	0	0	1	0	0	0	0	0	1	0
125	"Clandestini Corsi"	0	"France"	220	0	7	0	0	1	0	0	0	0	0	0	0	0	0
30028	"Corsican Revolutionary Armed Forces (FARC)"	0	"France"	220	0	14	0	0	1	0	1	0	0	1	0	0	1	0
176	"Francs Tireurs (Mavericks)"	0	"France"	220	0	15	0	0	0	0	0	1	0	0	0	0	0	0
187	"Fronte di Liberazione Naziunale di a Corsica (FLNC)"	0	"France"	220	0	30	1	0	3	0	1	0	0	0	0	0	1	0
188	"Gazteriak"	0	"France"	220	0	12	1	0	1	0	1	0	0	0	0	0	1	0
220	"Iparretarrak (IK)"	0	"France"	220	0	33	0	0	0	0	1	0	0	0	0	0	1	0
9866	"Resistenza Corsa"	0	"France"	220	0	4	0	0	1	0	1	0	0	1	0	0	1	0
9957	"Totally Anti-War Group (ATAG)"	0	"France"	220	0	5	0	0	0	0	0	0	0	0	0	0	0	0
174	"For a Revolutionary Perspective"	0	"Switzerland"	225	0	5	0	0	0	0	0	0	0	0	0	0	0	0
180	"Freedom for Mumia Abu-Jamal"	0	"Switzerland"	225	0	7	0	0	0	0	0	0	0	0	0	0	0	0
20001	"Abu Nayaf al-Afgani"	0	"Spain"	230	0	2	0	0	2	1	0	0	1	0	0	1	0	1
101	"Basque Fatherland and Freedom (ETA)"	0	"Spain"	230	52	47	1	0	3	0	1	0	0	0	0	0	1	0
172	"First of October Antifascist Resistance Group (GRAPO)"	0	"Spain"	230	1	31	0	0	3	0	0	1	0	0	0	0	0	0
9889	"Revolutionary Perspective"	0	"Spain"	230	0	6	0	0	1	0	0	0	0	0	0	0	0	0
97	"Autonomous Decorators"	0	"Germany"	255	0	5	0	0	0	0	0	1	0	0	0	0	0	0
20022	"Caucasian Front for the Liberation of Abu Achikob"	0	"Germany"	255	0	3	0	0	0	0	0	0	0	0	0	0	0	0
20030	"Group Revolutionary Reconstruction"	0	"Germany"	255	0	3	0	0	0	0	0	1	0	0	0	0	0	0
49	"Angry Brigade"	0	"Italy"	325	1	20	0	0	3	0	0	0	0	0	0	0	0	0
61	"Anti-Racist Guerrilla Nuclei"	0	"Italy"	325	0	7	0	0	0	0	0	1	0	0	0	0	0	0
65	"Anti-Zionist Movement"	0	"Italy"	325	0	7	0	0	0	1	0	0	0	0	0	1	0	0
66	"Anticapitalist Attack Nuclei (NAA)"	0	"Italy"	325	0	5	0	0	0	0	0	1	0	0	0	0	0	0
127	"Combatant Proletarian Nucleus"	0	"Italy"	325	0	4	0	0	0	0	0	1	0	0	0	0	0	0
141	"Cooperative of Hand-Made Fire & Related Items"	0	"Italy"	325	0	5	0	0	5	0	0	0	0	0	0	0	0	0
173	"Five C's"	0	"Italy"	325	0	4	1	0	4	0	0	0	0	0	0	0	0	0
216	"Informal Anarchist Federation"	0	"Italy"	325	0	3	1	0	4	0	0	0	0	0	0	0	0	0
219	"International Solidarity"	0	"Italy"	325	0	16	0	0	6	0	0	0	0	0	0	0	0	0
244	"July 20th Brigade"	0	"Italy"	325	0	4	0	0	5	0	0	0	0	0	0	0	0	0
9816	"Padanian Armed Separatist Phalanx (FASP)"	0	"Italy"	325	0	8	0	0	0	0	1	0	0	1	0	0	1	0
9848	"Proletarian Combatant Groups"	0	"Italy"	325	0	2	0	0	1	0	0	1	0	0	0	0	0	0
9849	"Proletarian Nuclei for Communism"	0	"Italy"	325	0	1	0	0	1	0	0	1	0	0	0	0	0	0
9857	"Red Brigades"	0	"Italy"	325	2	37	0	0	1	0	0	1	0	0	0	0	0	0
9879	"Revolutionary Front for Communism"	0	"Italy"	325	0	10	0	0	2	0	0	1	0	0	0	0	0	0
9881	"Revolutionary Leninist Brigades"	0	"Italy"	325	0	6	0	0	0	0	0	1	0	0	0	0	0	0
9885	"Revolutionary Offensive Cells"	0	"Italy"	325	0	3	0	0	0	0	0	1	0	0	0	0	0	0
9890	"Revolutionary Proletarian Initiative Nuclei"	0	"Italy"	325	0	5	0	0	1	0	0	1	0	0	0	0	0	0
9891	"Revolutionary Proletarian Nucleus"	0	"Italy"	325	0	6	0	0	1	0	0	1	0	0	0	0	0	0
9908	"Sardinian Autonomy Movement (MAS)"	0	"Italy"	325	0	4	0	0	0	0	1	0	0	1	0	0	1	0
9945	"Territorial Anti-Imperialist Nuclei"	0	"Italy"	325	0	11	0	0	0	0	0	1	0	0	0	0	0	0
9987	"Vitalunismo"	0	"Italy"	325	0	7	0	0	0	0	0	0	0	0	0	0	0	0
34	"Albanian National Army (ANA)"	0	"Macedonia"	343	2	4	1	0	0	0	1	0	0	0	0	0	1	0
257	"Kosovo Liberation Army (KLA)"	0	"Macedonia"	343	1	14	2	0	0	0	1	0	0	0	0	0	1	0
280	"Macedonian Revolutionary Organization (VMRO)"	0	"Macedonia"	343	0	5	0	0	0	0	1	0	0	0	0	0	1	0
540	"06/21/2008"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
